"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete","cases","percent sequenced","incomplete sequencing"
"Jan 02 (0342)",2,0.584795,11,3.216374,3,0.877193,0,0.0,1,0.292398,5,1.461988,0,0.0,0,0.0,,,320,93.567251,,27309,1,
"Jan 09 (0555)",7,1.261261,27,4.864865,7,1.261261,0,0.0,3,0.540541,5,0.900901,1,0.18018,0,0.0,,,505,90.990991,,36187,2,
"Jan 16 (0127)",10,7.874016,8,6.299213,8,6.299213,0,0.0,5,3.937008,4,3.149606,0,0.0,0,0.0,,,92,72.440945,,32958,0,
"Jan 23 (0148)",9,6.081081,11,7.432432,1,0.675676,0,0.0,1,0.675676,3,2.027027,0,0.0,0,0.0,,,123,83.108108,,30418,0,
"Jan 30 (0524)",62,11.832061,83,15.839695,15,2.862595,0,0.0,6,1.145038,13,2.480916,2,0.381679,0,0.0,,,343,65.458015,,29147,2,
"Feb 06 (0711)",97,13.642757,115,16.174402,62,8.720113,0,0.0,7,0.984529,16,2.250352,1,0.140647,0,0.0,,,413,58.087201,,23728,3,
"Feb 13 (0771)",130,16.861219,156,20.233463,63,8.171206,0,0.0,8,1.037613,10,1.297017,1,0.129702,0,0.0,,,403,52.26978,,22503,3,
"Feb 20 (1031)",178,17.264791,222,21.532493,97,9.408341,0,0.0,11,1.066925,15,1.454898,2,0.193986,2,0.193986,,,504,48.884578,,19446,5,
"Feb 27 (0975)",211,21.641026,247,25.333333,133,13.641026,0,0.0,3,0.307692,20,2.051282,0,0.0,1,0.102564,,,360,36.923077,,21546,5,
"Mar 06 (0830)",190,22.891566,249,30.0,128,15.421687,0,0.0,8,0.963855,13,1.566265,0,0.0,0,0.0,,,242,29.156627,,20146,4,
"Mar 13 (1543)",268,17.368762,517,33.506157,230,14.906027,0,0.0,2,0.129618,19,1.231367,0,0.0,0,0.0,,,507,32.858069,,20283,8,
"Mar 20 (0826)",219,26.513317,227,27.48184,202,24.455206,2,0.242131,6,0.726392,12,1.452785,1,0.121065,1,0.121065,,,156,18.886199,,19793,4,
"Mar 27 (1502)",386,25.699068,421,28.029294,441,29.360852,14,0.932091,4,0.266312,18,1.198402,6,0.399467,2,0.133156,,,210,13.981358,,22062,7,
"Apr 03 (1258)",328,26.073132,313,24.880763,431,34.260731,13,1.033386,10,0.794913,6,0.476948,4,0.317965,0,0.0,,,153,12.162162,,19135,7,
"Apr 10 (1819)",459,25.233645,424,23.309511,663,36.448598,40,2.19901,8,0.439802,7,0.384827,2,0.109951,0,0.0,,,216,11.874656,,17249,11,
"Apr 17 (1509)",398,26.375083,311,20.609675,568,37.640822,46,3.048376,6,0.397614,12,0.795229,8,0.530152,1,0.066269,,,159,10.536779,,13566,11,
"Apr 24 (0974)",237,24.332649,186,19.096509,401,41.170431,27,2.772074,8,0.821355,3,0.308008,3,0.308008,3,0.308008,,,106,10.882957,,9441,10,
"May 01 (0759)",140,18.445323,152,20.02635,328,43.214756,43,5.665349,2,0.263505,2,0.263505,2,0.263505,15,1.976285,,,75,9.881423,,7022,11,
"May 08 (0462)",62,13.419913,67,14.502165,223,48.268398,31,6.709957,0,0.0,0,0.0,4,0.865801,22,4.761905,,,53,11.471861,,4903,9,
"May 15 (0376)",47,12.5,76,20.212766,153,40.691489,18,4.787234,3,0.797872,2,0.531915,4,1.06383,11,2.925532,,,62,16.489362,,3431,11,
"May 22 (0246)",30,12.195122,38,15.447154,92,37.398374,26,10.569106,0,0.0,1,0.406504,1,0.406504,20,8.130081,,,38,15.447154,,2451,10,
"May 29 (0094)",10,10.638298,9,9.574468,37,39.361702,8,8.510638,0,0.0,0,0.0,0,0.0,7,7.446809,,,23,24.468085,,1660,6,
"Jun 05 (0107)",3,2.803738,4,3.738318,39,36.448598,15,14.018692,0,0.0,0,0.0,1,0.934579,9,8.411215,,,36,33.64486,,1266,8,
"Jun 12 (0097)",3,3.092784,2,2.061856,24,24.742268,6,6.185567,0,0.0,0,0.0,1,1.030928,22,22.680412,,,39,40.206186,,1174,8,
"Jun 19 (0064)",1,1.5625,0,0.0,7,10.9375,2,3.125,0,0.0,0,0.0,0,0.0,27,42.1875,,,27,42.1875,710,1053,6,1870
"Jun 26 (0062)",0,0.0,0,0.0,15,24.193548,2,3.225806,0,0.0,0,0.0,0,0.0,28,45.16129,,,17,27.419355,710,1047,6,1870
"Jul 03 (???)",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 10 (???)",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 17 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 24 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 31 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 07 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 14 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 21 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 28 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 04 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 11 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
