"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","Other count","Other percent","incomplete"
"Jan 02 (530)",2,0.377358,39,7.358491,4,0.754717,0,0.0,1,0.188679,7,1.320755,0,0.0,0,0.0,477,90.0,
"Jan 09 (865)",8,0.924855,57,6.589595,9,1.040462,0,0.0,5,0.578035,12,1.387283,1,0.115607,0,0.0,773,89.364162,
"Jan 16 (324)",10,3.08642,45,13.888889,10,3.08642,0,0.0,5,1.54321,9,2.777778,0,0.0,0,0.0,245,75.617284,
"Jan 23 (435)",13,2.988506,56,12.873563,8,1.83908,0,0.0,1,0.229885,5,1.149425,0,0.0,0,0.0,352,80.91954,
"Jan 30 (752)",64,8.510638,147,19.547872,23,3.058511,0,0.0,11,1.462766,14,1.861702,2,0.265957,0,0.0,491,65.292553,
"Feb 06 (967)",101,10.444674,214,22.1303,82,8.479835,0,0.0,8,0.827301,17,1.758014,1,0.103413,0,0.0,544,56.256463,
"Feb 13 (968)",137,14.152893,230,23.760331,97,10.020661,0,0.0,11,1.136364,15,1.549587,0,0.0,0,0.0,478,49.380165,
"Feb 20 (1102)",178,16.15245,255,23.139746,107,9.709619,0,0.0,14,1.270417,17,1.54265,2,0.181488,2,0.181488,527,47.822142,
"Feb 27 (1053)",213,20.22792,290,27.540361,152,14.434948,0,0.0,4,0.379867,21,1.994302,0,0.0,1,0.094967,372,35.327635,
"Mar 06 (916)",194,21.179039,296,32.31441,145,15.829694,0,0.0,8,0.873362,15,1.637555,0,0.0,0,0.0,258,28.165939,
"Mar 13 (1690)",287,16.982249,560,33.136095,268,15.857988,2,0.118343,4,0.236686,22,1.301775,1,0.059172,0,0.0,546,32.307692,
"Mar 20 (1101)",272,24.704814,296,26.88465,286,25.976385,3,0.27248,11,0.999092,15,1.362398,2,0.181653,1,0.090827,215,19.527702,
"Mar 27 (1871)",452,24.158204,518,27.68573,579,30.946018,19,1.0155,4,0.213789,18,0.962052,8,0.427579,3,0.160342,270,14.430786,
"Apr 03 (1651)",379,22.955784,436,26.408237,600,36.341611,19,1.150818,10,0.605694,7,0.423985,5,0.302847,0,0.0,195,11.811024,
"Apr 10 (2118)",510,24.07932,515,24.315392,774,36.543909,50,2.360718,8,0.377715,8,0.377715,3,0.141643,0,0.0,250,11.803588,
"Apr 17 (1778)",448,25.19685,395,22.215973,666,37.457818,55,3.093363,6,0.337458,14,0.787402,10,0.56243,2,0.112486,182,10.23622,
"Apr 24 (1173)",270,23.017903,222,18.925831,479,40.835465,43,3.665814,9,0.767263,3,0.255754,4,0.341006,3,0.255754,140,11.935209,
"May 01 (924)",174,18.831169,188,20.34632,396,42.857143,52,5.627706,2,0.21645,2,0.21645,3,0.324675,19,2.056277,88,9.52381,
"May 08 (578)",76,13.148789,87,15.051903,277,47.923875,43,7.439446,1,0.17301,0,0.0,4,0.692042,24,4.152249,66,11.418685,
"May 15 (483)",62,12.836439,90,18.63354,197,40.786749,32,6.625259,3,0.621118,2,0.414079,4,0.828157,14,2.898551,79,16.356108,
"May 22 (328)",40,12.195122,50,15.243902,122,37.195122,33,10.060976,1,0.304878,1,0.304878,1,0.304878,25,7.621951,55,16.768293,
"May 29 (159)",16,10.062893,18,11.320755,59,37.106918,20,12.578616,0,0.0,0,0.0,1,0.628931,10,6.289308,35,22.012579,
"Jun 05 (145)",6,4.137931,9,6.206897,54,37.241379,19,13.103448,0,0.0,0,0.0,1,0.689655,13,8.965517,43,29.655172,
"Jun 12 (152)",7,4.605263,4,2.631579,34,22.368421,14,9.210526,0,0.0,0,0.0,1,0.657895,42,27.631579,50,32.894737,
"Jun 19 (115)",2,1.73913,2,1.73913,18,15.652174,9,7.826087,0,0.0,0,0.0,0,0.0,41,35.652174,43,37.391304,
"Jun 26 (135)",1,0.740741,4,2.962963,24,17.777778,8,5.925926,0,0.0,0,0.0,0,0.0,59,43.703704,39,28.888889,820
"Jul 03 (90)",0,0.0,1,1.111111,10,11.111111,6,6.666667,0,0.0,0,0.0,0,0.0,62,68.888889,11,12.222222,820
"Jul 10 (???)",,,,,,,,,,,,,,,,,,,
"Jul 17 (???)",,,,,,,,,,,,,,,,,,,
"Jul 24 (n/a)",,,,,,,,,,,,,,,,,,,
