"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete"
"Jan 02 (0530)",2,0.377358,39,7.358491,4,0.754717,0,0.0,1,0.188679,6,1.132075,0,0.0,0,0.0,0,0.0,478,90.188679,
"Jan 09 (0861)",8,0.929152,58,6.736353,9,1.045296,0,0.0,5,0.58072,11,1.277584,0,0.0,0,0.0,0,0.0,770,89.430894,
"Jan 16 (0414)",10,2.415459,50,12.077295,13,3.140097,0,0.0,5,1.207729,12,2.898551,0,0.0,0,0.0,0,0.0,324,78.26087,
"Jan 23 (0484)",13,2.68595,63,13.016529,8,1.652893,0,0.0,1,0.206612,7,1.446281,0,0.0,0,0.0,0,0.0,392,80.991736,
"Jan 30 (0777)",66,8.494208,148,19.047619,23,2.960103,0,0.0,11,1.415701,14,1.801802,2,0.2574,0,0.0,0,0.0,513,66.023166,
"Feb 06 (0995)",101,10.150754,221,22.211055,79,7.939698,0,0.0,7,0.703518,17,1.708543,1,0.100503,0,0.0,0,0.0,569,57.18593,
"Feb 13 (1073)",137,12.76794,282,26.281454,100,9.319664,0,0.0,12,1.11836,19,1.770736,0,0.0,0,0.0,0,0.0,523,48.741845,
"Feb 20 (1166)",182,15.608919,300,25.728988,103,8.833619,0,0.0,14,1.200686,17,1.457976,2,0.171527,0,0.0,0,0.0,548,46.998285,
"Feb 27 (1115)",205,18.38565,341,30.58296,147,13.183857,0,0.0,3,0.269058,21,1.883408,2,0.179372,2,0.179372,0,0.0,394,35.336323,
"Mar 06 (1022)",193,18.88454,383,37.475538,158,15.459883,0,0.0,11,1.076321,16,1.565558,1,0.097847,0,0.0,0,0.0,260,25.440313,
"Mar 13 (1771)",280,15.810277,620,35.00847,260,14.680971,4,0.225861,2,0.112931,26,1.468097,2,0.112931,0,0.0,0,0.0,577,32.580463,
"Mar 20 (1163)",275,23.645744,339,29.148753,303,26.05331,3,0.257954,12,1.031814,18,1.547721,3,0.257954,1,0.085985,0,0.0,209,17.970765,
"Mar 27 (1949)",452,23.19138,580,29.758851,597,30.631093,19,0.974859,4,0.205233,18,0.923551,8,0.410467,3,0.153925,1,0.051308,267,13.699333,
"Apr 03 (1711)",379,22.150789,478,27.936879,618,36.119229,23,1.344243,10,0.584454,7,0.409117,5,0.292227,0,0.0,1,0.058445,190,11.104617,
"Apr 10 (2149)",509,23.685435,574,26.710098,778,36.202885,53,2.466263,8,0.372266,8,0.372266,5,0.232666,1,0.046533,2,0.093067,211,9.81852,
"Apr 17 (1823)",449,24.629731,439,24.081185,682,37.410861,57,3.126714,6,0.329128,16,0.877674,11,0.603401,2,0.109709,9,0.493692,152,8.337905,
"Apr 24 (1204)",267,22.17608,260,21.594684,488,40.531561,47,3.903654,9,0.747508,4,0.332226,5,0.415282,3,0.249169,12,0.996678,109,9.053156,
"May 01 (0961)",175,18.210198,211,21.956296,411,42.76795,52,5.41103,3,0.312175,2,0.208117,7,0.728408,19,1.977107,7,0.728408,74,7.700312,
"May 08 (0602)",76,12.624585,93,15.448505,291,48.33887,45,7.475083,1,0.166113,0,0.0,5,0.830565,24,3.986711,6,0.996678,61,10.13289,
"May 15 (0493)",64,12.981744,97,19.675456,201,40.770791,32,6.490872,3,0.608519,2,0.40568,3,0.608519,14,2.839757,19,3.853955,58,11.764706,
"May 22 (0337)",39,11.5727,51,15.133531,127,37.68546,34,10.089021,1,0.296736,1,0.296736,2,0.593472,25,7.418398,15,4.451039,42,12.462908,
"May 29 (0167)",15,8.982036,20,11.976048,63,37.724551,21,12.57485,0,0.0,0,0.0,1,0.598802,13,7.784431,10,5.988024,24,14.371257,
"Jun 05 (0153)",6,3.921569,9,5.882353,56,36.601307,22,14.379085,0,0.0,0,0.0,0,0.0,13,8.496732,22,14.379085,25,16.339869,
