"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","B.1.1.529 count","B.1.1.529 percent","Other count","Other percent","incomplete"
"Jan 02 (0531)",3,0.564972,31,5.838041,4,0.753296,0,0.0,2,0.376648,6,1.129944,0,0.0,0,0.0,0,0.0,0,0.0,485,91.3371,
"Jan 09 (0872)",8,0.917431,50,5.733945,8,0.917431,0,0.0,5,0.573394,12,1.376147,0,0.0,0,0.0,0,0.0,0,0.0,789,90.481651,
"Jan 16 (0414)",9,2.173913,44,10.628019,13,3.140097,0,0.0,5,1.207729,12,2.898551,0,0.0,0,0.0,0,0.0,0,0.0,331,79.951691,
"Jan 23 (0481)",13,2.702703,55,11.434511,8,1.663202,0,0.0,1,0.2079,6,1.247401,0,0.0,0,0.0,0,0.0,0,0.0,398,82.744283,
"Jan 30 (0775)",61,7.870968,121,15.612903,23,2.967742,0,0.0,11,1.419355,14,1.806452,1,0.129032,0,0.0,0,0.0,0,0.0,544,70.193548,
"Feb 06 (1007)",82,8.142999,205,20.357498,78,7.74578,0,0.0,8,0.794439,17,1.688183,0,0.0,0,0.0,0,0.0,0,0.0,617,61.271102,
"Feb 13 (1067)",60,5.623243,295,27.64761,98,9.18463,0,0.0,13,1.218369,20,1.874414,0,0.0,0,0.0,0,0.0,0,0.0,581,54.451734,
"Feb 20 (1165)",164,14.077253,239,20.515021,109,9.356223,0,0.0,16,1.373391,16,1.373391,2,0.171674,1,0.085837,0,0.0,0,0.0,618,53.04721,
"Feb 27 (1114)",203,18.222621,251,22.531418,145,13.016158,0,0.0,5,0.448833,20,1.795332,0,0.0,0,0.0,0,0.0,0,0.0,490,43.985637,
"Mar 06 (1021)",194,19.000979,310,30.36239,154,15.083252,0,0.0,9,0.881489,16,1.567091,0,0.0,1,0.097943,0,0.0,0,0.0,337,33.006856,
"Mar 13 (1777)",278,15.644344,298,16.769837,250,14.068655,4,0.225098,4,0.225098,23,1.294316,0,0.0,15,0.844119,0,0.0,0,0.0,905,50.928531,
"Mar 20 (1172)",272,23.208191,213,18.174061,296,25.255973,3,0.255973,11,0.938567,17,1.450512,2,0.170648,1,0.085324,0,0.0,0,0.0,357,30.460751,
"Mar 27 (1968)",457,23.221545,409,20.78252,576,29.268293,22,1.117886,4,0.203252,18,0.914634,6,0.304878,4,0.203252,1,0.050813,0,0.0,471,23.932927,
"Apr 03 (1741)",384,22.056289,358,20.562895,614,35.267088,22,1.263642,11,0.631821,7,0.402068,3,0.172315,0,0.0,1,0.057438,0,0.0,341,19.586445,
"Apr 10 (2192)",503,22.94708,357,16.286496,763,34.808394,50,2.281022,8,0.364964,8,0.364964,3,0.136861,1,0.04562,3,0.136861,0,0.0,496,22.627737,
"Apr 17 (1878)",444,23.642173,293,15.601704,657,34.984026,52,2.768903,6,0.319489,16,0.85197,7,0.372737,2,0.106496,9,0.479233,0,0.0,392,20.873269,
"Apr 24 (1247)",265,21.251002,173,13.873296,473,37.931034,40,3.207698,9,0.721732,4,0.32077,3,0.240577,3,0.240577,13,1.042502,0,0.0,264,21.17081,
"May 01 (1006)",168,16.699801,131,13.021869,397,39.463221,48,4.771372,3,0.298211,2,0.198807,2,0.198807,19,1.888668,5,0.497018,0,0.0,231,22.962227,
"May 08 (0639)",77,12.050078,58,9.076682,284,44.444444,35,5.477308,2,0.312989,0,0.0,2,0.312989,25,3.912363,4,0.625978,0,0.0,152,23.787167,
"May 15 (0493)",61,12.373225,60,12.170385,192,38.945233,23,4.665314,3,0.608519,2,0.40568,0,0.0,14,2.839757,20,4.056795,0,0.0,118,23.935091,
"May 22 (0367)",35,9.536785,39,10.626703,129,35.149864,23,6.26703,1,0.27248,1,0.27248,1,0.27248,27,7.356948,16,4.359673,0,0.0,95,25.885559,
"May 29 (0218)",15,6.880734,17,7.798165,75,34.40367,19,8.715596,0,0.0,0,0.0,1,0.458716,18,8.256881,14,6.422018,0,0.0,59,27.06422,
"Jun 05 (0179)",6,3.351955,4,2.234637,55,30.726257,22,12.290503,0,0.0,0,0.0,0,0.0,14,7.821229,27,15.083799,0,0.0,51,28.49162,
"Jun 12 (0187)",6,3.208556,2,1.069519,31,16.57754,15,8.02139,0,0.0,0,0.0,0,0.0,52,27.807487,34,18.181818,0,0.0,47,25.13369,
"Jun 19 (0138)",1,0.724638,1,0.724638,22,15.942029,9,6.521739,0,0.0,0,0.0,0,0.0,49,35.507246,17,12.318841,0,0.0,39,28.26087,
"Jun 26 (0186)",1,0.537634,1,0.537634,32,17.204301,11,5.913978,0,0.0,0,0.0,0,0.0,72,38.709677,27,14.516129,0,0.0,42,22.580645,
"Jul 03 (0169)",0,0.0,1,0.591716,20,11.83432,8,4.733728,0,0.0,0,0.0,0,0.0,103,60.946746,14,8.284024,0,0.0,23,13.609467,
"Jul 10 (0322)",2,0.621118,3,0.931677,17,5.279503,17,5.279503,0,0.0,0,0.0,0,0.0,232,72.049689,27,8.385093,0,0.0,24,7.453416,
"Jul 17 (0433)",0,0.0,1,0.230947,15,3.464203,11,2.540416,0,0.0,0,0.0,1,0.230947,364,84.064665,17,3.926097,0,0.0,24,5.542725,
"Jul 24 (0734)",3,0.408719,1,0.13624,7,0.953678,7,0.953678,0,0.0,0,0.0,1,0.13624,686,93.46049,17,2.316076,0,0.0,12,1.634877,
"Jul 31 (1089)",0,0.0,0,0.0,8,0.734619,2,0.183655,0,0.0,0,0.0,1,0.091827,1053,96.694215,11,1.010101,0,0.0,14,1.285583,
"Aug 07 (1491)",0,0.0,1,0.067069,4,0.268276,5,0.335345,0,0.0,0,0.0,0,0.0,1458,97.78672,8,0.536553,0,0.0,15,1.006036,
"Aug 14 (1752)",0,0.0,0,0.0,4,0.228311,1,0.057078,0,0.0,0,0.0,0,0.0,1721,98.230594,6,0.342466,0,0.0,20,1.141553,
"Aug 21 (1814)",0,0.0,0,0.0,2,0.110254,3,0.16538,0,0.0,0,0.0,0,0.0,1777,97.960309,6,0.330761,0,0.0,26,1.433297,
"Aug 28 (1625)",0,0.0,0,0.0,1,0.061538,2,0.123077,0,0.0,0,0.0,0,0.0,1590,97.846154,8,0.492308,0,0.0,24,1.476923,
"Sep 04 (1277)",0,0.0,0,0.0,1,0.078309,2,0.156617,0,0.0,0,0.0,0,0.0,1239,97.024276,4,0.313234,0,0.0,31,2.427565,
"Sep 11 (1361)",0,0.0,0,0.0,2,0.146951,1,0.073475,0,0.0,0,0.0,0,0.0,1324,97.281411,7,0.514328,0,0.0,27,1.983835,
"Sep 18 (1658)",0,0.0,0,0.0,0,0.0,2,0.120627,0,0.0,0,0.0,0,0.0,1619,97.647768,4,0.241255,0,0.0,33,1.99035,
"Sep 25 (1486)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1454,97.846568,11,0.740242,0,0.0,21,1.41319,
"Oct 02 (1079)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1064,98.609824,1,0.092678,0,0.0,14,1.297498,
"Oct 09 (0825)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,808,97.939394,0,0.0,0,0.0,17,2.060606,
"Oct 16 (0913)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,897,98.247536,0,0.0,0,0.0,16,1.752464,
"Oct 23 (0809)",0,0.0,0,0.0,0,0.0,1,0.123609,0,0.0,0,0.0,0,0.0,802,99.134734,0,0.0,0,0.0,6,0.741656,
"Oct 30 (0719)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,701,97.496523,1,0.139082,0,0.0,17,2.364395,
"Nov 06 (0580)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,567,97.758621,0,0.0,0,0.0,13,2.241379,
"Nov 13 (0963)",0,0.0,0,0.0,1,0.103842,0,0.0,0,0.0,0,0.0,0,0.0,942,97.819315,0,0.0,0,0.0,20,2.076843,
"Nov 20 (0858)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,833,97.086247,0,0.0,0,0.0,25,2.913753,
"Nov 27 (1071)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1044,97.478992,1,0.093371,8,0.746965,18,1.680672,1830
"Dec 04 (1224)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1171,95.669935,0,0.0,39,3.186275,14,1.143791,1830
