#
# this is var-data.tsv
# row id is week number
# histograms are centered on the number but plus or minus .5 so plotting this all means showing .5 to 15.5
#row id	Specimen collection date	Total	Alpha B.1.1.7	Beta B.1.351	Epsilon B.1.429	Epsilon B.1.427	Gamma P.1	Iota B.1.526 +E484K	Iota B.1.526 -E484K	B.1.526.1	Eta B.1.525	B.1.617	Kappa B.1.617.1	Delta B.1.617.2	B.1.617.3	Zeta P.2	All variants	Wild Type
1	"Feb 8-14 (734)"	734	0.07084468665	0	0.01226158038	0.005449591281	0	0.151226158	0.1403269755	0	0.00136239782	0	0	0	0	0.00408719346	0.3855585831	0.6144414169
2	"Feb 15-21 (826)"	826	0.08353510896	0.002421307506	0.006053268765	0.009685230024	0	0.1610169492	0.1464891041	0	0.001210653753	0	0	0	0	0	0.4104116223	0.5895883777
3	"Feb 22-28 (990)"	990	0.1191919192	0	0.01212121212	0.00404040404	0	0.2090909091	0.1797979798	0	0.00404040404	0	0	0	0	0.00202020202	0.5303030303	0.4696969697
4	"Mar 1-7 (715)"	715	0.1748251748	0	0.01958041958	0.004195804196	0	0.234965035	0.213986014	0	0.001398601399	0	0	0	0	0	0.648951049	0.351048951
5	"Mar 8-14 (1481)"	1481	0.09520594193	0	0.008777852802	0.001350438893	0.0006752194463	0.1532748143	0.1715057394	0	0	0	0	0	0	0	0.4307900068	0.5692099932
6	"Mar 15-21 (698)"	698	0.2621776504	0.002865329513	0.01146131805	0.007163323782	0.005730659026	0.2793696275	0.1504297994	0.09169054441	0.002865329513	0	0	0	0	0	0.8137535817	0.1862464183
7	"Mar 22-28 (1496)"	1496	0.2947860963	0.002673796791	0.01136363636	0.003342245989	0.01270053476	0.2546791444	0.1971925134	0.09759358289	0.002005347594	0	0	0	0	0	0.8763368984	0.1236631016
8	"Mar 29-Apr 4 (1195)"	1195	0.3556485356	0.003347280335	0.005020920502	0.007531380753	0.01255230126	0.2552301255	0.1682008368	0.0870292887	0.005020920502	0	0	0	0	0	0.89958159	0.10041841
9	"Apr 5-11 (1831)"	1831	0.3631895139	0.00218459858	0.003823047515	0.003823047515	0.02566903332	0.2528672856	0.150737302	0.09120699072	0.002730748225	0	0	0	0	0	0.8962315674	0.1037684326
10	"Apr 12-18 (1404)"	1404	0.3789173789	0.003561253561	0.007834757835	0.004273504274	0.03347578348	0.2606837607	0.1396011396	0.06908831909	0.00641025641	0.0007122507123	0	0	0	0	0.9045584046	0.09544159544
11	"Apr 19-25 (955)"	955	0.4146596859	0.001047120419	0.003141361257	0.008376963351	0.03560209424	0.2397905759	0.1267015707	0.05445026178	0.005235602094	0.001047120419	0.001047120419	0.003141361257	0	0	0.8942408377	0.1057591623
12	"Apr 26-May 2 (699)"	699	0.4334763948	0.001430615165	0.002861230329	0.001430615165	0.05865522175	0.1845493562	0.1244635193	0.07868383405	0.001430615165	0	0	0.02288984263	0	0	0.9098712446	0.09012875536
13	"May 3-9 (414)"	414	0.4734299517	0.01207729469	0.004830917874	0.004830917874	0.05797101449	0.1352657005	0.09420289855	0.04106280193	0.01207729469	0	0	0.04106280193	0.04106280193	0.004830917874	0.922705314	0.07729468599
14	"May 10-16 (361)"	361	0.4072022161	0	0.002770083102	0.005540166205	0.04986149584	0.1301939058	0.1495844875	0.07202216066	0.01108033241	0	0	0.04155124654	0	0	0.8698060942	0.1301939058
15	"May 17-23 (211)"	211	0.398104265	0.009478673	0.000000000	0.000000000	0.104265403	0.123222749	0.113744076	0.023696682	0.004739336493	0	0	0.08056872038	0	0	0.8578199052	0.1421800948
16	"May 24-30 (???)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	"May 31-Jun 6 (???)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	"Jun 7-Jun 13 (???)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
